,id,url,title,year,genre,certificate,runtime,imdb_rating,metascore
51,tt8946378,/title/tt8946378/,Knives Out,2019,"['Comedy', ' Crime', ' Drama']",PG-13,130,79.0,
52,tt4263482,/title/tt4263482/,The VVitch: A New-England Folktale,2015,"['Drama', ' Fantasy', ' History']",R,92,69.0,
53,t11214590,/title/tt11214590/,House of Gucci,2021,"['Crime', ' Drama']",R,158,66.0,59.0
54,t11083552,/title/tt11083552/,Wrath of Man,2021,"['Action', ' Crime', ' Thriller']",R,119,71.0,57.0
55,tt7888964,/title/tt7888964/,Nobody,2021,"['Action', ' Crime', ' Drama']",R,92,74.0,
56,tt2582802,/title/tt2582802/,Whiplash,2014,"['Drama', ' Music']",R,106,85.0,
57,tt3581652,/title/tt3581652/,West Side Story,2021,"['Crime', ' Drama', ' Musical']",PG-13,156,72.0,
58,tt3183660,/title/tt3183660/,Fantastic Beasts and Where to Find Them,2016,"['Adventure', ' Family', ' Fantasy']",PG-13,132,72.0,
59,tt3748528,/title/tt3748528/,Rogue One: A Star Wars Story,2016,"['Action', ' Adventure', ' Sci-Fi']",PG-13,133,78.0,
60,tt7097896,/title/tt7097896/,Venom: Let There Be Carnage,2021,"['Action', ' Adventure', ' Sci-Fi']",PG-13,97,59.0,49.0
61,tt2268016,/title/tt2268016/,Magic Mike XXL,2015,"['Comedy', ' Drama', ' Music']",R,115,56.0,60.0
62,tt1392190,/title/tt1392190/,Mad Max: Fury Road,2015,"['Action', ' Adventure', ' Sci-Fi']",R,120,81.0,
63,tt4244994,/title/tt4244994/,The Last Duel,2021,"['Action', ' Drama', ' History']",R,152,74.0,
64,tt7286456,/title/tt7286456/,Joker,2019,"['Crime', ' Drama', ' Thriller']",R,122,84.0,59.0
65,tt2194499,/title/tt2194499/,About Time,2013,"['Comedy', ' Drama', ' Fantasy']",R,123,78.0,55.0
66,tt4881806,/title/tt4881806/,Jurassic World: Fallen Kingdom,2018,"['Action', ' Adventure', ' Sci-Fi']",PG-13,128,61.0,51.0
67,tt8633478,/title/tt8633478/,Run,2020,"['Mystery', ' Thriller']",PG-13,90,67.0,
68,tt1431045,/title/tt1431045/,Deadpool,2016,"['Action', ' Adventure', ' Comedy']",R,108,80.0,
69,tt8847712,/title/tt8847712/,The French Dispatch,2021,"['Comedy', ' Drama', ' Romance']",R,107,72.0,
70,tt5463162,/title/tt5463162/,Deadpool 2,2018,"['Action', ' Adventure', ' Comedy']",R,119,77.0,
71,tt0974015,/title/tt0974015/,Justice League,2017,"['Action', ' Adventure', ' Fantasy']",PG-13,120,61.0,45.0
72,tt2015381,/title/tt2015381/,Guardians of the Galaxy,2014,"['Action', ' Adventure', ' Comedy']",PG-13,121,80.0,
73,tt2250912,/title/tt2250912/,Spider-Man: Homecoming,2017,"['Action', ' Adventure', ' Sci-Fi']",PG-13,133,74.0,
74,tt7784604,/title/tt7784604/,Hereditary,2018,"['Drama', ' Horror', ' Mystery']",R,127,73.0,
75,tt5013984,/title/tt5013984/,Gully,2019,"['Crime', ' Drama']",R,84,17.0,
76,tt0800369,/title/tt0800369/,Thor,2011,"['Action', ' Adventure', ' Fantasy']",PG-13,115,70.0,57.0
77,tt2527338,/title/tt2527338/,Star Wars: The Rise Of Skywalker,2019,"['Action', ' Adventure', ' Fantasy']",PG-13,141,65.0,53.0
78,tt2395427,/title/tt2395427/,Avengers: Age of Ultron,2015,"['Action', ' Adventure', ' Sci-Fi']",PG-13,141,73.0,
79,tt6723592,/title/tt6723592/,Tenet,2020,"['Action', ' Adventure', ' Sci-Fi']",PG-13,150,73.0,
80,tt1392170,/title/tt1392170/,The Hunger Games,2012,"['Action', ' Adventure', ' Sci-Fi']",PG-13,142,72.0,
81,tt1981677,/title/tt1981677/,Pitch Perfect,2012,"['Comedy', ' Music', ' Romance']",PG-13,112,71.0,
82,t10293406,/title/tt10293406/,The Power of the Dog,2021,"['Drama', ' Romance', ' Western']",R,126,69.0,
83,tt3104988,/title/tt3104988/,Crazy Rich Asians,2018,"['Comedy', ' Drama', ' Romance']",PG-13,120,69.0,
84,tt3480822,/title/tt3480822/,Black Widow,2021,"['Action', ' Adventure', ' Sci-Fi']",PG-13,134,67.0,
85,tt2267998,/title/tt2267998/,Gone Girl,2014,"['Drama', ' Mystery', ' Thriller']",R,149,81.0,
86,tt2798920,/title/tt2798920/,Annihilation,2018,"['Adventure', ' Drama', ' Horror']",R,115,68.0,
87,tt7545524,/title/tt7545524/,Ben Is Back,2018,['Drama'],R,103,67.0,
88,tt1853728,/title/tt1853728/,Django Unchained,2012,"['Drama', ' Western']",R,165,84.0,
89,tt2076822,/title/tt2076822/,Chaos Walking,2021,"['Action', ' Adventure', ' Fantasy']",PG-13,109,57.0,
90,tt1345836,/title/tt1345836/,The Dark Knight Rises,2012,"['Action', ' Crime', ' Drama']",PG-13,164,84.0,
91,tt1469304,/title/tt1469304/,Baywatch,2017,"['Action', ' Comedy', ' Crime']",R,116,55.0,
92,tt3272066,/title/tt3272066/,Reminiscence,2021,"['Mystery', ' Romance', ' Sci-Fi']",PG-13,116,58.0,46.0
93,tt9357050,/title/tt9357050/,Dear Evan Hansen,2021,"['Drama', ' Musical']",PG-13,137,61.0,
94,tt1485796,/title/tt1485796/,The Greatest Showman,2017,"['Biography', ' Drama', ' Musical']",PG,105,75.0,48.0
95,tt1396484,/title/tt1396484/,It,2017,['Horror'],R,135,73.0,
96,tt1570728,/title/tt1570728/,"Crazy, Stupid, Love.",2011,"['Comedy', ' Drama', ' Romance']",PG-13,118,74.0,
97,t10665338,/title/tt10665338/,Halloween Kills,2021,"['Horror', ' Thriller']",R,105,55.0,42.0
98,tt1502404,/title/tt1502404/,Drive Angry,2011,"['Action', ' Fantasy', ' Thriller']",R,104,54.0,44.0
99,tt1392214,/title/tt1392214/,Prisoners,2013,"['Crime', ' Drama', ' Mystery']",R,153,81.0,
100,tt1677720,/title/tt1677720/,Ready Player One,2018,"['Action', ' Adventure', ' Sci-Fi']",PG-13,140,74.0,
101,tt3397884,/title/tt3397884/,Sicario,2015,"['Action', ' Crime', ' Drama']",R,121,76.0,
102,tt1051906,/title/tt1051906/,The Invisible Man,2020,"['Drama', ' Horror', ' Mystery']",R,124,71.0,
103,tt1950186,/title/tt1950186/,Ford v Ferrari,2019,"['Action', ' Biography', ' Drama']",PG-13,152,81.0,
104,tt3099498,/title/tt3099498/,Tusk,2014,"['Comedy', ' Horror']",R,102,53.0,55.0
105,tt2381249,/title/tt2381249/,Mission: Impossible - Rogue Nation,2015,"['Action', ' Adventure', ' Thriller']",PG-13,131,74.0,
106,tt7991608,/title/tt7991608/,Red Notice,2021,"['Action', ' Comedy', ' Thriller']",PG-13,118,63.0,
107,tt9243804,/title/tt9243804/,The Green Knight,2021,"['Adventure', ' Drama', ' Fantasy']",R,130,66.0,
108,tt4633694,/title/tt4633694/,Spider-Man: Into the Spider-Verse,2018,"['Animation', ' Action', ' Adventure']",PG,117,84.0,
109,tt3811906,/title/tt3811906/,Malignant,2021,"['Crime', ' Horror', ' Mystery']",R,111,62.0,51.0
110,tt5606664,/title/tt5606664/,Doctor Sleep,2019,"['Drama', ' Fantasy', ' Horror']",R,152,73.0,59.0
111,tt9731534,/title/tt9731534/,The Night House,2020,"['Horror', ' Mystery', ' Thriller']",R,107,65.0,
112,tt4034354,/title/tt4034354/,Swiss Army Man,2016,"['Comedy', ' Drama', ' Fantasy']",R,97,69.0,
113,tt1077368,/title/tt1077368/,Dark Shadows,2012,"['Comedy', ' Fantasy', ' Horror']",PG-13,113,62.0,55.0
114,tt5013056,/title/tt5013056/,Dunkirk,2017,"['Action', ' Drama', ' History']",PG-13,106,78.0,
115,t11847410,/title/tt11847410/,The Fallout,2021,['Drama'],R,96,70.0,
116,tt8579674,/title/tt8579674/,1917,2019,"['Action', ' Drama', ' War']",R,119,82.0,
117,tt2584384,/title/tt2584384/,Jojo Rabbit,2019,"['Comedy', ' Drama', ' War']",PG-13,108,79.0,58.0
118,tt4154664,/title/tt4154664/,Captain Marvel,2019,"['Action', ' Adventure', ' Sci-Fi']",PG-13,123,68.0,
119,tt1130884,/title/tt1130884/,Shutter Island,2010,"['Mystery', ' Thriller']",R,138,82.0,
120,tt6654210,/title/tt6654210/,Infinite,2021,"['Action', ' Sci-Fi', ' Thriller']",PG-13,106,54.0,
121,tt5563334,/title/tt5563334/,The Good Liar,2019,"['Crime', ' Drama', ' Mystery']",R,109,67.0,55.0
122,tt1825683,/title/tt1825683/,Black Panther,2018,"['Action', ' Adventure', ' Sci-Fi']",PG-13,134,73.0,
123,tt4126476,/title/tt4126476/,After,2019,"['Drama', ' Romance']",PG-13,105,52.0,
124,tt8332922,/title/tt8332922/,A Quiet Place Part II,2020,"['Drama', ' Horror', ' Sci-Fi']",PG-13,97,72.0,
125,tt1355683,/title/tt1355683/,Black Mass,2015,"['Biography', ' Crime', ' Drama']",R,123,69.0,
126,tt1981115,/title/tt1981115/,Thor: The Dark World,2013,"['Action', ' Adventure', ' Fantasy']",PG-13,112,68.0,54.0
127,tt3281548,/title/tt3281548/,Little Women,2019,"['Drama', ' Romance']",PG,135,78.0,
128,tt1560220,/title/tt1560220/,Zombieland: Double Tap,2019,"['Action', ' Comedy', ' Horror']",R,99,67.0,55.0
129,tt0790724,/title/tt0790724/,Jack Reacher,2012,"['Action', ' Mystery', ' Thriller']",PG-13,130,70.0,50.0
130,tt5726616,/title/tt5726616/,Call Me by Your Name,2017,"['Drama', ' Romance']",R,132,78.0,
